,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
0,Jerry Carl ,(R),Alabama,District 01,N/a,Winner,64.9,1971321,1859349
1,James Averhart ,(D),Alabama,District 01,N/a,N/a,35.0,80095,78973
2,Barry Moore ,(R),Alabama,District 02,N/a,Winner,65.3,650807,669368
3,Phyllis Harvey-Hall ,(D),Alabama,District 02,N/a,N/a,34.6,56050,55988
4,Mike D Rogers ,(R),Alabama,District 03,Incumbent,Winner,67.5,1193111,1218564
5,Adia Winfrey ,(D),Alabama,District 03,N/a,N/a,32.4,50273,40971
6,Robert B Aderholt ,(R),Alabama,District 04,Incumbent,Winner,82.5,1255076,1323812
7,Mo Brooks ,(R),Alabama,District 05,Incumbent,Winner,95.8,655365,210045
8,Gary Palmer ,(R),Alabama,District 06,Incumbent,Winner,97.1,907219,909082
9,Terri Sewell ,(D),Alabama,District 07,Incumbent,Winner,97.2,2168165,1495957
10,Don Young ,(R),Alaska,District 01,Incumbent,Winner,54.4,1922901,1790448
11,Alyse Galvin ,(I),Alaska,District 01,N/a,N/a,45.3,5178452,5088103
12,Tom O'Halleran ,(D),Arizona,District 01,Incumbent,Winner,51.6,3381353,3324138
13,Tiffany Shedd ,(R),Arizona,District 01,N/a,N/a,48.4,1675618,1615704
14,Ann Kirkpatrick ,(D),Arizona,District 02,Incumbent,Winner,55.1,1849862,1384765
15,Brandon Martin ,(R),Arizona,District 02,N/a,N/a,44.9,374821,381067
16,Raul M Grijalva ,(D),Arizona,District 03,Incumbent,Winner,64.6,843560,655507
17,Daniel Wood ,(R),Arizona,District 03,N/a,N/a,35.4,41422,41962
18,Paul Gosar ,(R),Arizona,District 04,Incumbent,Winner,69.8,622151,729892
19,Delina DiSanto ,(D),Arizona,District 04,N/a,N/a,30.2,77168,79758
20,Andy Biggs ,(R),Arizona,District 05,Incumbent,Winner,58.9,1602181,1236380
21,Joan Greene ,(D),Arizona,District 05,N/a,N/a,41.1,356069,209789
22,David Schweikert ,(R),Arizona,District 06,Incumbent,Winner,52.2,2265329,2249979
23,Hiral Tipirneni ,(D),Arizona,District 06,N/a,N/a,47.8,6301073,6366702
24,Tom Lewellen ,(I),Arizona,District 06,N/a,N/a,0.0,11685,11000
25,Ruben Gallego ,(D),Arizona,District 07,Incumbent,Winner,76.7,1811754,1653961
26,Josh Barnett ,(R),Arizona,District 07,N/a,N/a,23.3,28093,17883
27,Debbie Lesko ,(R),Arizona,District 08,Incumbent,Winner,59.6,1605245,987453
28,Michael Muscato ,(D),Arizona,District 08,N/a,N/a,40.4,357906,347734
29,Greg Stanton ,(D),Arizona,District 09,Incumbent,Winner,61.6,2001619,1001350
30,Dave Giles ,(R),Arizona,District 09,N/a,N/a,38.4,130480,129935
31,Rick Crawford ,(R),Arkansas,District 01,Incumbent,Winner,100.0,966801,1095518
32,French Hill ,(R),Arkansas,District 02,Incumbent,Winner,55.4,3384490,3020491
33,Joyce Elliott ,(D),Arkansas,District 02,N/a,N/a,44.6,3482463,3478733
34,Steve Womack ,(R),Arkansas,District 03,Incumbent,Winner,64.3,1127158,923120
35,Celeste Williams (D) ,(D),Arkansas,District 03,N/a,N/a,31.8,355294,355294
36,Bruce Westerman ,(R),Arkansas,District 04,Incumbent,Winner,69.7,1407770,1102573
37,William Hanson ,(D),Arkansas,District 04,N/a,N/a,27.5,109767,111683
38,Doug LaMalfa ,(R),California,District 01,Incumbent,Winner,56.9,1219556,1155945
39,Audrey Denney ,(D),California,District 01,N/a,N/a,43.1,2461769,2457661
40,Jared Huffman ,(D),California,District 02,Incumbent,Winner,75.7,899419,797753
41,Dale Mensing ,(R),California,District 02,N/a,N/a,24.3,5921,2197
42,John Garamendi ,(D),California,District 03,Incumbent,Winner,54.7,1054066,667320
43,Tamika Hamilton ,(R),California,District 03,N/a,N/a,45.3,397099,384584
44,Tom McClintock ,(R),California,District 04,Incumbent,Winner,55.9,2053363,2107248
45,Brynne Kennedy ,(D),California,District 04,N/a,N/a,44.1,3006020,3002532
46,Mike Thompson ,(D),California,District 05,Incumbent,Winner,76.8,2208136,2022751
47,Doris Matsui ,(D),California,District 06,Incumbent,Winner,73.4,1019605,1073529
48,Christine Bish ,(R),California,District 06,N/a,N/a,26.6,44772,44554
49,Ami Bera ,(D),California,District 07,Incumbent,Winner,56.6,1757748,1053444
50,Buzz Patterson ,(R),California,District 07,N/a,N/a,43.4,43876,29614
51,Jay Obernolte ,(R),California,District 08,N/a,Winner,56.1,1861647,1792064
52,Chris Bubser ,(D),California,District 08,N/a,N/a,43.9,1858001,1856613
53,Jerry McNerney ,(D),California,District 09,Incumbent,Winner,57.6,1177959,1112543
54,Tony Amador ,(R),California,District 09,N/a,N/a,42.4,52175,52175
55,Josh Harder ,(D),California,District 10,Incumbent,Winner,55.2,7400135,3950613
56,Ted Howze ,(R),California,District 10,N/a,N/a,44.8,1426552,1721882
57,Mark Desaulnier ,(D),California,District 11,Incumbent,Winner,73.0,610394,440537
58,Nisha Sharma ,(R),California,District 11,N/a,N/a,27.0,174954,171870
59,Nancy Pelosi ,(D),California,District 12,Incumbent,Winner,77.6,27359508,22064953
60,Shahid Buttar ,(D),California,District 12,N/a,N/a,22.4,1672876,1650467
61,Barbara Lee ,(D),California,District 13,Incumbent,Winner,90.4,1828213,1750142
62,Nikka Piterman ,(R),California,District 13,N/a,N/a,9.6,9839,9904
63,Jackie Speier ,(D),California,District 14,Incumbent,Winner,79.3,942934,919599
64,Eric Swalwell ,(D),California,District 15,Incumbent,Winner,70.9,2807774,3977839
65,Jim Costa ,(D),California,District 16,Incumbent,Winner,59.3,2135525,1835244
66,Kevin Cookingham ,(R),California,District 16,N/a,N/a,40.7,265364,265364
67,Ro Khanna ,(D),California,District 17,Incumbent,Winner,71.3,3837982,2455457
68,Ritesh Tandon ,(R),California,District 17,N/a,N/a,28.7,175536,175015
69,Anna Eshoo ,(D),California,District 18,Incumbent,Winner,63.2,2114909,2059158
70,Rishi Kumar ,(D),California,District 18,N/a,N/a,36.8,674383,691938
71,Zoe Lofgren ,(D),California,District 19,Incumbent,Winner,71.7,1755555,1731700
72,Justin Aguilera ,(R),California,District 19,N/a,N/a,28.3,9112,11542
73,Jimmy Panetta ,(D),California,District 20,Incumbent,Winner,76.8,2009894,1592671
74,Jeff Gorman ,(R),California,District 20,N/a,N/a,23.2,67634,64947
75,TJ Cox ,(D),California,District 21,Incumbent,N/a,49.6,5695157,5694005
76,David Valadao ,(R),California,District 21,N/a,Winner,50.4,4067880,3982587
77,Devin Nunes ,(R),California,District 22,Incumbent,Winner,54.2,26825212,20156093
78,Phil Arballo ,(D),California,District 22,N/a,N/a,45.8,5091451,5062185
79,Kevin McCarthy ,(R),California,District 23,Incumbent,Winner,62.1,27780644,24265583
80,Kim Mangone ,(D),California,District 23,N/a,N/a,37.9,1671101,1665373
81,Salud Carbajal ,(D),California,District 24,Incumbent,Winner,58.7,2117836,1451622
82,Andy Caldwell ,(R),California,District 24,N/a,N/a,41.3,1298798,1268199
83,Mike Garcia ,(R),California,District 25,Incumbent,Winner,50.0,9962507,9584648
84,Christy Smith ,(D),California,District 25,N/a,N/a,50.0,5977734,5808477
85,Julia Brownley ,(D),California,District 26,Incumbent,Winner,60.6,1976695,1314677
86,Ronda Kennedy ,(R),California,District 26,N/a,N/a,39.4,246226,67208
87,Judy Chu ,(D),California,District 27,Incumbent,Winner,69.8,1213706,956298
88,Johnny Nalbandian ,(R),California,District 27,N/a,N/a,30.2,39584,39159
89,Adam Schiff ,(D),California,District 28,Incumbent,Winner,72.7,19382855,10188664
90,Eric Early ,(R),California,District 28,N/a,N/a,27.3,4085322,3790027
