,Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent,State_District
0,Jerry Carl ,(R),AL, 01,N/a,Winner,64.9,1971321,1859349,AL01
1,James Averhart ,(D),AL, 01,N/a,N/a,35.0,80095,78973,AL01
2,Barry Moore ,(R),AL, 02,N/a,Winner,65.3,650807,669368,AL02
3,Phyllis Harvey-Hall ,(D),AL, 02,N/a,N/a,34.6,56050,55988,AL02
4,Mike D Rogers ,(R),AL, 03,Incumbent,Winner,67.5,1193111,1218564,AL03
5,Adia Winfrey ,(D),AL, 03,N/a,N/a,32.4,50273,40971,AL03
6,Robert B Aderholt ,(R),AL, 04,Incumbent,Winner,82.5,1255076,1323812,AL04
7,Mo Brooks ,(R),AL, 05,Incumbent,Winner,95.8,655365,210045,AL05
8,Gary Palmer ,(R),AL, 06,Incumbent,Winner,97.1,907219,909082,AL06
9,Terri Sewell ,(D),AL, 07,Incumbent,Winner,97.2,2168165,1495957,AL07
10,Don Young ,(R),AK, 01,Incumbent,Winner,54.4,1922901,1790448,AK01
11,Alyse Galvin ,(I),AK, 01,N/a,N/a,45.3,5178452,5088103,AK01
12,Tom O'Halleran ,(D),AZ, 01,Incumbent,Winner,51.6,3381353,3324138,AZ01
13,Tiffany Shedd ,(R),AZ, 01,N/a,N/a,48.4,1675618,1615704,AZ01
14,Ann Kirkpatrick ,(D),AZ, 02,Incumbent,Winner,55.1,1849862,1384765,AZ02
15,Brandon Martin ,(R),AZ, 02,N/a,N/a,44.9,374821,381067,AZ02
16,Raul M Grijalva ,(D),AZ, 03,Incumbent,Winner,64.6,843560,655507,AZ03
17,Daniel Wood ,(R),AZ, 03,N/a,N/a,35.4,41422,41962,AZ03
18,Paul Gosar ,(R),AZ, 04,Incumbent,Winner,69.8,622151,729892,AZ04
19,Delina DiSanto ,(D),AZ, 04,N/a,N/a,30.2,77168,79758,AZ04
20,Andy Biggs ,(R),AZ, 05,Incumbent,Winner,58.9,1602181,1236380,AZ05
21,Joan Greene ,(D),AZ, 05,N/a,N/a,41.1,356069,209789,AZ05
22,David Schweikert ,(R),AZ, 06,Incumbent,Winner,52.2,2265329,2249979,AZ06
23,Hiral Tipirneni ,(D),AZ, 06,N/a,N/a,47.8,6301073,6366702,AZ06
24,Tom Lewellen ,(I),AZ, 06,N/a,N/a,0.0,11685,11000,AZ06
25,Ruben Gallego ,(D),AZ, 07,Incumbent,Winner,76.7,1811754,1653961,AZ07
26,Josh Barnett ,(R),AZ, 07,N/a,N/a,23.3,28093,17883,AZ07
27,Debbie Lesko ,(R),AZ, 08,Incumbent,Winner,59.6,1605245,987453,AZ08
28,Michael Muscato ,(D),AZ, 08,N/a,N/a,40.4,357906,347734,AZ08
29,Greg Stanton ,(D),AZ, 09,Incumbent,Winner,61.6,2001619,1001350,AZ09
30,Dave Giles ,(R),AZ, 09,N/a,N/a,38.4,130480,129935,AZ09
31,Rick Crawford ,(R),AR, 01,Incumbent,Winner,100.0,966801,1095518,AR01
32,French Hill ,(R),AR, 02,Incumbent,Winner,55.4,3384490,3020491,AR02
33,Joyce Elliott ,(D),AR, 02,N/a,N/a,44.6,3482463,3478733,AR02
34,Steve Womack ,(R),AR, 03,Incumbent,Winner,64.3,1127158,923120,AR03
35,Celeste Williams (D) ,(D),AR, 03,N/a,N/a,31.8,355294,355294,AR03
36,Bruce Westerman ,(R),AR, 04,Incumbent,Winner,69.7,1407770,1102573,AR04
37,William Hanson ,(D),AR, 04,N/a,N/a,27.5,109767,111683,AR04
38,Doug LaMalfa ,(R),CA, 01,Incumbent,Winner,56.9,1219556,1155945,CA01
39,Audrey Denney ,(D),CA, 01,N/a,N/a,43.1,2461769,2457661,CA01
40,Jared Huffman ,(D),CA, 02,Incumbent,Winner,75.7,899419,797753,CA02
41,Dale Mensing ,(R),CA, 02,N/a,N/a,24.3,5921,2197,CA02
42,John Garamendi ,(D),CA, 03,Incumbent,Winner,54.7,1054066,667320,CA03
43,Tamika Hamilton ,(R),CA, 03,N/a,N/a,45.3,397099,384584,CA03
44,Tom McClintock ,(R),CA, 04,Incumbent,Winner,55.9,2053363,2107248,CA04
45,Brynne Kennedy ,(D),CA, 04,N/a,N/a,44.1,3006020,3002532,CA04
46,Mike Thompson ,(D),CA, 05,Incumbent,Winner,76.8,2208136,2022751,CA05
47,Doris Matsui ,(D),CA, 06,Incumbent,Winner,73.4,1019605,1073529,CA06
48,Christine Bish ,(R),CA, 06,N/a,N/a,26.6,44772,44554,CA06
49,Ami Bera ,(D),CA, 07,Incumbent,Winner,56.6,1757748,1053444,CA07
50,Buzz Patterson ,(R),CA, 07,N/a,N/a,43.4,43876,29614,CA07
51,Jay Obernolte ,(R),CA, 08,N/a,Winner,56.1,1861647,1792064,CA08
52,Chris Bubser ,(D),CA, 08,N/a,N/a,43.9,1858001,1856613,CA08
53,Jerry McNerney ,(D),CA, 09,Incumbent,Winner,57.6,1177959,1112543,CA09
54,Tony Amador ,(R),CA, 09,N/a,N/a,42.4,52175,52175,CA09
