State,Abbreviation,District Numbers
Alabama,AL,1
Alabama,AL,2
Alabama,AL,3
Alabama,AL,4
Alabama,AL,5
Alabama,AL,6
Alabama,AL,7
Alaska,AK,1
Arizona,AZ,1
Arizona,AZ,2
Arizona,AZ,3
Arizona,AZ,4
Arizona,AZ,5
Arizona,AZ,6
Arizona,AZ,7
Arizona,AZ,8
Arizona,AZ,9
Arkansas,AR,1
Arkansas,AR,2
Arkansas,AR,3
Arkansas,AR,4
California,CA,1
California,CA,2
California,CA,3
California,CA,4
California,CA,5
California,CA,6
California,CA,7
California,CA,8
California,CA,9
California,CA,10
California,CA,11
California,CA,12
California,CA,13
California,CA,14
California,CA,15
California,CA,16
California,CA,17
California,CA,18
California,CA,19
California,CA,20
California,CA,21
California,CA,22
California,CA,23
California,CA,24
California,CA,25
California,CA,26
California,CA,27
California,CA,28
California,CA,29
California,CA,30
California,CA,31
California,CA,32
California,CA,33
California,CA,34
California,CA,35
California,CA,36
California,CA,37
California,CA,38
California,CA,39
California,CA,40
California,CA,41
California,CA,42
California,CA,43
California,CA,44
California,CA,45
California,CA,46
California,CA,47
California,CA,48
California,CA,49
California,CA,50
California,CA,51
California,CA,52
California,CA,53
Colorado,CO,1
Colorado,CO,2
Colorado,CO,3
Colorado,CO,4
Colorado,CO,5
Colorado,CO,6
Colorado,CO,7
Connecticut,CT,1
Connecticut,CT,2
Connecticut,CT,3
Connecticut,CT,4
Connecticut,CT,5
Delaware,DE,1
Florida,FL,1
Florida,FL,2
Florida,FL,3
Florida,FL,4
Florida,FL,5
Florida,FL,6
Florida,FL,7
Florida,FL,8
Florida,FL,9
Florida,FL,10
Florida,FL,11
Florida,FL,12
Florida,FL,13
Florida,FL,14
Florida,FL,15
Florida,FL,16
Florida,FL,17
Florida,FL,18
Florida,FL,19
Florida,FL,20
Florida,FL,21
Florida,FL,22
Florida,FL,23
Florida,FL,24
Florida,FL,25
Florida,FL,26
Florida,FL,27
Georgia,GA,1
Georgia,GA,2
Georgia,GA,3
Georgia,GA,4
Georgia,GA,5
Georgia,GA,6
Georgia,GA,7
Georgia,GA,8
Georgia,GA,9
Georgia,GA,10
Georgia,GA,11
Georgia,GA,12
Georgia,GA,13
Georgia,GA,14
Hawaii,HI,1
Hawaii,HI,2
Idaho,ID,1
Idaho,ID,2
Illinois,IL,1
Illinois,IL,2
Illinois,IL,3
Illinois,IL,4
Illinois,IL,5
Illinois,IL,6
Illinois,IL,7
Illinois,IL,8
Illinois,IL,9
Illinois,IL,10
Illinois,IL,11
Illinois,IL,12
Illinois,IL,13
Illinois,IL,14
Illinois,IL,15
Illinois,IL,16
Illinois,IL,17
Illinois,IL,18
Indiana,IN,1
Indiana,IN,2
Indiana,IN,3
Indiana,IN,4
Indiana,IN,5
Indiana,IN,6
Indiana,IN,7
Indiana,IN,8
Indiana,IN,9
Iowa,IA,1
Iowa,IA,2
Iowa,IA,3
Iowa,IA,4
Kansas,KS,1
Kansas,KS,2
Kansas,KS,3
Kansas,KS,4
Kentucky,KY,1
Kentucky,KY,2
Kentucky,KY,3
Kentucky,KY,4
Kentucky,KY,5
Kentucky,KY,6
Louisiana,LA,1
Louisiana,LA,2
Louisiana,LA,3
Louisiana,LA,4
Louisiana,LA,5
Louisiana,LA,6
Maine,ME,1
Maine,ME,2
Maryland,MD,1
Maryland,MD,2
Maryland,MD,3
Maryland,MD,4
Maryland,MD,5
Maryland,MD,6
Maryland,MD,7
Maryland,MD,8
Massachusetts,MA,1
Massachusetts,MA,2
Massachusetts,MA,3
Massachusetts,MA,4
Massachusetts,MA,5
Massachusetts,MA,6
Massachusetts,MA,7
Massachusetts,MA,8
Massachusetts,MA,9
Michigan,MI,1
Michigan,MI,2
Michigan,MI,3
Michigan,MI,4
Michigan,MI,5
Michigan,MI,6
Michigan,MI,7
Michigan,MI,8
Michigan,MI,9
Michigan,MI,10
Michigan,MI,11
Michigan,MI,12
Michigan,MI,13
Michigan,MI,14
Minnesota,MN,1
Minnesota,MN,2
Minnesota,MN,3
Minnesota,MN,4
Minnesota,MN,5
Minnesota,MN,6
Minnesota,MN,7
Minnesota,MN,8
Mississippi,MS,1
Mississippi,MS,2
Mississippi,MS,3
Mississippi,MS,4
Missouri,MO,1
Missouri,MO,2
Missouri,MO,3
Missouri,MO,4
Missouri,MO,5
Missouri,MO,6
Missouri,MO,7
Missouri,MO,8
Montana,MT,1
Nebraska,NE,1
Nebraska,NE,2
Nebraska,NE,3
